factor_code,dimension,criterion,full_definition
C1,Consumer-Cultural & Behavioural,Passengers’ environmental knowledge & awareness,"The level of passengers’ knowledge about the environmental impact of aviation and their awareness of sustainability initiatives implemented by airlines."
C2,Consumer-Cultural & Behavioural,"Passengers’ cultural dynamics (values, beliefs, norms, traditions, religion, language)","The shared cultural values, beliefs and social norms—including traditions, religious influences and language-related meanings—that shape passengers’ attitudes towards sustainable air travel."
C3,Consumer-Cultural & Behavioural,Passengers’ perceived environmental performance of the airline’s green actions,"The extent to which passengers believe that an airline’s environmental initiatives produce genuine and meaningful environmental benefits."
C4,Consumer-Cultural & Behavioural,"Passengers’ willingness-to-pay (WTP) for green initiatives in the air transport sector (carbon offsets, Sustainable Aviation Fuel (SAF))","The extent to which passengers are willing to pay an additional amount for environmentally sustainable airline initiatives, such as carbon-offset programmes or the use of Sustainable Aviation Fuel."
C5,Consumer-Cultural & Behavioural,Passengers’ trust in airlines’ green actions (low greenwashing skepticism),"The extent to which passengers believe that an airline’s sustainability claims are truthful, reliable and not misleading or exaggerated."
C6,Consumer-Cultural & Behavioural,Passengers’ country of origin (in terms of geographical and regulatory environment),"The regulatory, institutional and environmental characteristics of passengers’ country of origin that may shape their attitudes towards sustainable aviation."
E1,Economic & Market,Origin-country GDP per capita,"The level of income and purchasing power within passengers’ origin market that affects their ability to afford additional costs associated with green airline initiatives."
E2,Economic & Market,"Revenue Potential from Green Practices (Differentiation, Opportunities)","The extent to which an airline expects its sustainability practices to generate commercial value through differentiation, premium pricing, stronger brand image and increased customer loyalty."
E3,Economic & Market,Investment Risk & Financial Risk,"The degree of uncertainty associated with the costs, financial returns and payback period of airline investments in sustainable practices."
E4,Economic & Market,"Macro-economic stability / price sensitivity context (inflation, crises, etc.) of Origin Market","The extent to which inflation, unemployment, economic crises and cost-of-living pressures increase passengers’ sensitivity to price increases associated with green airline initiatives."
S1,Airline Strategic & Operational,Airline’s strategic flexibility (ability to adapt to environmental uncertainties / reconfigure),"The airline’s ability to adjust and reconfigure its sustainability strategy, operations and resources in response to emerging environmental, regulatory or market changes."
S2,Airline Strategic & Operational,Airline’s strategic resilience (ability to absorb shocks and continue / bounce back),"The airline’s ability to absorb major regulatory, financial, operational or climate-related disruptions, maintain essential operations and recover effectively."
S3,Airline Strategic & Operational,Airline’s resource commitment (willingness to invest long-term in sustainability even with uncertain payback),"The airline management’s willingness to maintain long-term financial, human and technological commitments to sustainability despite uncertain or delayed returns."
S4,Airline Strategic & Operational,Airline’s carbon offset programme quality and credibility,"The extent to which the airline’s carbon-offset programme is transparent, verifiable, reliable and based on high-quality environmental projects and credible reporting."
S5,Airline Strategic & Operational,"Airline’s operational and financial capacity to adopt Sustainable Aviation Fuel (SAF), including access to supply, contracts, infrastructure, operational integration and cost management","The airline’s operational and financial ability to secure Sustainable Aviation Fuel supply, establish relevant contracts, manage costs and integrate SAF into its existing operations and business model."
S6,Airline Strategic & Operational,Airline’s effectiveness in communicating sustainability to passengers,"The airline’s ability to communicate its environmental initiatives, limitations, benefits and measurable impacts to passengers in an accurate, understandable, transparent and consistent manner."
S7,Airline Strategic & Operational,"Airline’s commitment to its stakeholders (engagement, accountability, responsiveness)","The extent to which the airline formally engages with, responds to and remains accountable to passengers, regulators, employees, investors, business partners and other stakeholders."
S8,Airline Strategic & Operational,Airline’s compliance with global environmental regulations and sustainability policies,"The airline’s ability and organisational readiness to meet applicable environmental regulations, reporting obligations, sustainability policies and aviation decarbonisation targets."
